StationID,StationName,lon,lat,Afternoon,Morning,Evening
1,尚美楼出口与道路交叉口,104.2015415,30.57112439,40,33,29
2,尚美楼旁交叉口大巴旁,104.2006691,30.57155952,36,37,27
3,校医院停车场,104.2002944,30.5720705,40,33,27
4,校幼儿园门口,104.1997258,30.57216444,43,34,29
5,第二操场东北处道路交叉口,104.1987398,30.57174534,50,40,33
6,校幼儿园西南处交叉口,104.1984508,30.57252674,47,37,30
7,第一、二操场出口交叉处,104.1971693,30.57248539,48,45,34
8,烂尾楼停车处,104.196305,30.57259714,44,34,35
9,烂尾楼西部入口,104.1959026,30.57318392,43,36,32
10,北辰门出口道路交叉口,104.1955943,30.57460053,49,46,47
11,校外草地/北辰门公路上部,104.1945425,30.57414642,53,56,41
12,校外草地中点,104.194853,30.57360456,48,39,37
13,校外草地下点,104.1947795,30.57303236,52,41,33
14,西辉门出口道路交叉口,104.1945676,30.57213781,52,51,39
15,西辉门公交车停车场,104.1950375,30.57231068,50,49,40
16,幼儿园至小区口上部,104.1982007,30.57310128,48,30,31
17,幼儿园至小区口中部,104.1974716,30.57341266,36,39,28
18,幼儿园至小区口下部,104.196933,30.57365768,46,35,32
19,北辰门公路中部,104.1943664,30.57354857,56,55,47
20,北辰门公路下部,104.1943108,30.57299019,58,56,48
21,第二操场东南角,104.1984,30.56949392,46,45,48
22,第二操场第三操场交界处,104.1974934,30.56987054,45,55,47
23,食堂门口,104.1958024,30.5691683,47,51,57
24,食堂西北角,104.1950484,30.56992844,48,47,46
25,四川师范大学再生资源分类回收中心,104.1954366,30.57066259,45,53,45
26,通往西辉门的三岔口,104.1988393,30.57147303,44,44,48
27,西辉门外车道,104.194287,30.57200469,55,63,55
28,太平洋影院斜对面岔口,104.1940234,30.57067346,52,54,50
29,西岑门外,104.194356,30.56938766,49,47,47
30,篮球场与第三运动场之间,104.1960423,30.57105574,48,47,47
31,运动馆门前,104.1972281,30.57095669,47,52,44
32,第二操场西北角,104.1976527,30.57143702,33,51,45
33,第二操场东北角,104.1987002,30.57140268,35,43,45
34,第二操场南,104.1982536,30.57007233,40,49,42
35,第二操场中心,104.1981295,30.57081149,43,51,44
36,第三操场北,104.1968212,30.57157524,47,45,50
37,第三操场南,104.1967015,30.56987119,42,48,44
38,西一,104.1956046,30.56869085,53,42,53
39,西二,104.1955333,30.56808999,39,44,41
40,西三,104.194342,30.5688555,44,49,46
41,西四五,104.193943,30.56792018,38,45,44
42,西六,104.1948418,30.567269,42,45,50
43,地理实验楼,104.1941506,30.56667116,36,34,37
44,生物实验楼,104.1940083,30.56645055,40,38,44
45,生物实验楼外侧街道,104.1932072,30.56604834,57,55,58
