lon,lat,Afternoon,Morning,Evening,StationName
104.1987109,30.563277,61,61,66,南云门
104.19421,30.56555655,68,69,68,南风门外大道路上
104.1962265,30.56458476,60,60,64,南风门口
104.1971339,30.56548485,49,48,51,从南风门进第一个十字路口
104.198303,30.56487642,48,47,48,音乐学院门口
104.1993889,30.56434041,49,48,49,从南云门进第一个十字路口
104.1995721,30.56532227,47,46,48,东苑操场附近
104.1989568,30.56555787,45,37,44,第一实验楼背后
104.1976001,30.5663114,42,41,48,龙湖前花坛处
104.1979339,30.56718801,44,37,45,龙湖旗杆处
104.1992266,30.56684008,42,38,37,第一实验楼后至龙湖的桥上
104.2001195,30.56693595,50,41,47,博观石处
104.1998734,30.56815177,50,39,41,图书馆停车场
104.1993069,30.56901661,53,42,43,图书馆孔子像处
104.1987745,30.56832154,41,39,47,图书馆门口台阶下
104.1977828,30.56871272,40,39,39,图书馆外小路上
104.1967197,30.56907684,52,46,45,图书馆小路与大路的交叉口
104.1973569,30.56775632,38,37,41,龙湖边
104.1969894,30.56723122,40,41,40,龙湖靠近B区的小桥上
104.1969135,30.56652275,44,43,38,教学楼B区
104.1956593,30.56683119,47,44,42,C区外空地
104.1956313,30.56586775,51,50,53,第三实验楼外
